"","Task","Mean_RMSD","SD_RMSD","Min_RMSD","Max_RMSD"
"1","task01",5.02892679360976,2.14691452004517,1.47543917829455,12.4569751784189
"2","task02",4.83864104178819,2.21588783982914,1.08635869476202,12.4959184093407
"3","task03",9.41373528479769,1.64025868904429,3.36135819401737,15.144943301746
"4","task04",9.88508389896714,2.05923889071551,4.93272702592957,16.1517078608648
"5","task05",6.24527209139263,1.93587583081596,2.5242749502587,12.7338021509839
"6","task06",8.53896350171231,1.67350465911781,4.00237586722376,15.4441347534678
"7","task08",6.76429965122712,2.00255203296735,2.40852540333355,14.1108668818879
"8","task09",10.7928335108791,1.97745877488324,4.86791812213628,16.6336296733786
"9","task10",10.2409954757095,1.52589708588875,5.401385379859,16.3619487198779
"10","task11",7.43161991484882,1.63153583883998,3.2656518853159,12.8711349810813
