"","Task","Muscle","Mean_Dif","SD_Dif","Min_Dif","Max_Dif"
"1","task01","Anconeus",3.05824023025435,3.77816313939615,0.0010386477698626,24.074640575321
"2","task01","Anterior Deltoid",1.33527535512228,1.32531647847369,3.64671225058772e-05,7.77923830102841
"3","task01","Anterior Supraspinatus",2.95992414868028,3.07058634265701,5.46378092698419e-05,21.6446566039619
"4","task01","Biceps Long Head",3.75085387026039,3.95233958000238,0.00612090905511975,28.2897661521204
"5","task01","Biceps Short Head",2.91461322313029,2.13122688080531,0.0167212920730391,18.2080870201464
"6","task01","Brachialis",4.15376325766308,4.25195423658879,0.00662991462371169,38.2260101614272
"7","task01","Brachioradialis",3.28832541020816,3.62357674864066,0.000310067138193107,25.6079225124579
"8","task01","Coracobrachialis",2.59623663801779,1.69812188704329,0.00583714236628996,13.5920901904482
"9","task01","Inferior Infraspinatus",3.39005152782914,2.74529143533431,0.0120956364878699,18.5027003026902
"10","task01","Inferior Latissimus Dorsi",1.67792528801323,1.90508857617763,0.00281909079913123,14.2224023501707
"11","task01","Inferior Pectoralis Major",0.464661349642542,0.505992388663254,0.000835294109575415,3.43830575842903
"12","task01","Inferior Rhombiod",0.917715888869696,0.94886973677083,0.000557643602165955,5.80434750338378
"13","task01","Inferior Serratus Anterior",5.23256295501238,1.87080652680648,0.0141680070410999,10.2014712374299
"14","task01","Inferior Subscapularis",2.46981798809062,2.75335570294194,0.000419553491570846,20.6501251369382
"15","task01","Inferior Trapezius, Scapula",3.05967759311246,3.06092222879923,0.00993205192622175,22.4504069508236
"16","task01","Levator Scapula",1.09919672625093,1.24093792722195,0.000361370383121197,8.98106783160876
"17","task01","Middle Deltoid",2.2553516337505,1.74266382214154,5.89483048010209e-05,9.1422572933253
"18","task01","Middle Latissimus Dorsi",1.40506348948494,1.61884270691474,0.000258767919785727,11.2225333854762
"19","task01","Middle Pectoralis Major",0.943198419508021,0.970044338354005,0.00143939710510866,11.0593158839686
"20","task01","Middle Serratus Anterior",2.21357776373764,2.20576538188004,0.00154805404625933,13.5909727540453
"21","task01","Middle Subscapularis",2.03094628073341,2.6017092711695,0.000297090455700033,21.5161469100076
"22","task01","Middle Trapezius, Scapula",1.28208265050079,1.22195442130858,0.00308552177193527,7.81944623145091
"23","task01","Pectoralis Minor",5.51180881225257,3.11784589847245,0.00487426386936818,38.7629544740733
"24","task01","Posterior Deltoid",1.90313297551744,2.05319328175302,6.0317125335506e-05,14.0737018770301
"25","task01","Posterior Supraspinatus",3.09925437341821,4.20149677811588,0.00014327371671019,31.0662498932845
"26","task01","Pronator Quadratus",2.49332561129962,3.00631549753398,0.000707488536690004,27.9194372165678
"27","task01","Pronator Teres, Humeral",2.69232917604946,3.00097811417929,0.00338599728677097,21.9681357790272
"28","task01","Pronator Teres, Ulnar",2.81596978075749,3.2644855652767,0.00054948042284203,27.6267895559398
"29","task01","Superior Infraspinatus",3.89275791886278,3.56448113703356,0.00422055314315006,32.030452064937
"30","task01","Superior Latissimus Dorsi",1.7630213462805,2.03894443766485,0.00575868749032593,20.9606758880463
"31","task01","Superior Pectoralis Major",1.2761220333281,1.29678405426605,0.000983571139563028,8.60415657947586
"32","task01","Superior Rhombiod",0.58537494463978,0.628658653704966,9.34479671696837e-05,5.00130771270685
"33","task01","Superior Serratus Anterior",2.12409657955972,2.04176499784411,2.89204382992844e-05,18.1113915970167
"34","task01","Superior Subscapularis",2.70874896537871,3.32515113542384,0.00198007989414706,30.2502371832101
"35","task01","Superior Trapezius, Scapula",0.669560529057836,0.638460661189861,0.00110144801689396,3.64885796772868
"36","task01","Supinator",2.37448515063361,2.35093242380707,0.00185864352845586,16.5512513876802
