"","Task","Mean_Dif","SD_Dif","Min_Dif","Max_Dif"
"1","task01",0.00735434526525089,0.00282819847831583,0.00210387568263544,0.0122589431480321
"2","task02",0.00304183000416867,0.00176099399841628,0.000592671506955983,0.006415392732286
"3","task03",0.011686721797673,0.00246743069358125,0.00445455636693363,0.0160396097885066
"4","task04",0.0135788207370573,0.00320868408922423,0.00572629185344706,0.0194471952365465
"5","task05",0.0110743623228358,0.00187297002296696,0.00548553604227724,0.0149871359419053
"6","task06",0.0150008422202749,0.00250800931332141,0.00755316231470492,0.0193091704644545
"7","task08",0.00920630757601603,0.0030135114656527,0.00296134107227581,0.0145847120714567
"8","task09",0.018476441888136,0.00342681343318659,0.00869535785781667,0.0245009899456543
"9","task10",0.019838181861983,0.00318737785215473,0.00900879907219963,0.0247605260630466
"10","task11",0.0108449171160866,0.0025641210975214,0.00375567710954661,0.0156075241260936
