"","Task","Mean_RMSD","SD_RMSD","Min_RMSD","Max_RMSD"
"1","task01",2.0730988142742,0.356572969005792,1.47543917829455,3.29784261159358
"2","task02",1.86701167211409,0.303381936633358,1.08635869476202,2.54708928812111
"3","task03",7.60591247187228,1.18721481295974,3.36135819401737,9.82134258813541
"4","task04",7.26978226090092,0.849978930943899,4.93272702592957,9.65889290988129
"5","task05",4.22414220525003,0.637331689285232,2.92062195763604,5.96922601490894
"6","task06",7.15567365511175,0.881922337578583,4.72945881675183,9.41622391020515
"7","task08",4.41218938928593,0.85411456768631,2.40852540333355,6.43850900196979
"8","task09",8.41541348892633,1.48828556147028,4.86791812213628,11.7732121065222
"9","task10",8.710379230497,1.0178025605478,5.401385379859,10.9518402592201
"10","task11",5.89699142630748,1.03888206111955,3.2656518853159,7.92237926098548
