Exertion,Model,MaxForce_N,Pct_20N,Pct_50N,Pct_100N,MaxForce_halfReserves,MaxForce_doubleReserves,MaxForce_musclesOnly
upward,3dof,172.49340298214,11.5946463193557,28.9866157983892,57.9732315967784,171.200694126242,175.078820693934,169.907985270345
upward,5dof,172.49340298214,11.5946463193557,28.9866157983892,57.9732315967784,171.200694126242,175.078820693934,169.907985270345
upward,8dof,83.9001698049271,23.8378540192483,59.5946350481208,119.189270096242,36.5005513732228,149.325300230005,NaN
upward,11dof,41.6975466189289,47.9644526398128,119.911131599532,239.822263199064,16.9698280288492,88.7708096449967,NaN
downward,3dof,231.811223569144,8.62770994952903,21.5692748738226,43.1385497476451,229.184746955779,237.064176795874,226.558270342414
downward,5dof,231.811223569144,8.62770994952903,21.5692748738226,43.1385497476451,229.184746955779,237.064176795874,226.558270342414
downward,8dof,111.861158880282,17.8793069910931,44.6982674777327,89.3965349554654,90.3029575631871,154.955477690676,NaN
downward,11dof,72.8631074561799,27.4487332454604,68.621833113651,137.243666227302,40.2471786329434,127.084829262532,NaN
rightward,3dof,107.336343687692,18.6330177765253,46.5825444413133,93.1650888826266,103.784691798613,114.40103992083,100.233039909534
rightward,5dof,107.336343687692,18.6330177765253,46.5825444413133,93.1650888826266,103.784691798613,114.40103992083,100.233039909534
rightward,8dof,45.0031133921765,44.441369701939,111.103424254848,222.206848509695,24.3042641367417,80.4905226354182,NaN
rightward,11dof,34.3821342639448,58.1697455034757,145.424363758689,290.848727517379,13.085131161459,74.0331156878636,NaN
leftward,3dof,282.690245650781,7.07488153825685,17.6872038456421,35.3744076912842,279.280513035217,289.509710881909,275.870780419653
leftward,5dof,146.293071879871,13.6711873932233,34.1779684830582,68.3559369661163,138.214147743917,162.45092015178,130.135223607963
leftward,8dof,126.461618969289,15.815075089982,39.5376877249551,79.0753754499102,56.960434011626,162.45092015178,NaN
leftward,11dof,74.4114652029867,26.8775785363748,67.1939463409371,134.387892681874,35.5212388555799,147.930408328856,NaN
