"","Task","Muscle","Mean_Dif","SD_Dif","Min_Dif","Max_Dif"
"1","task01","Anconeus",4.8110922519612,5.59570124740347,0.0010386477698626,49.7357464640825
"2","task01","Anterior Deltoid",1.9133808824719,1.9591721156549,3.64671225058772e-05,15.71151693021
"3","task01","Anterior Supraspinatus",4.21097030048953,4.97776270002037,5.46378092698419e-05,35.3364938244706
"4","task01","Biceps Long Head",5.13205379403913,5.61108595639953,0.00612090905511975,41.9779278473222
"5","task01","Biceps Short Head",3.30998957675908,2.50040393008081,0.000743986240809846,18.9734907777262
"6","task01","Brachialis",6.60606085226716,6.39673021483554,0.00662991462371169,39.8923233598078
"7","task01","Brachioradialis",5.62153052103524,6.66411535466841,0.000310067138193107,62.4657782159225
"8","task01","Coracobrachialis",2.93009313382085,2.29628944553671,0.00583714236628996,26.961160524352
"9","task01","Inferior Infraspinatus",4.57122526036431,4.53486884366109,0.00274285391984019,34.6964119475547
"10","task01","Inferior Latissimus Dorsi",2.62280207708793,2.92978269733835,0.000854362216297453,21.3089237934158
"11","task01","Inferior Pectoralis Major",0.68401923773988,0.716427658630799,0.000835294109575415,5.45504622558666
"12","task01","Inferior Rhombiod",1.2993373560644,1.36413323078158,0.000557643602165955,10.4002687389731
"13","task01","Inferior Serratus Anterior",5.54086104859349,2.31310428392017,0.00838762161300011,11.04584313703
"14","task01","Inferior Subscapularis",4.06674959121436,4.72942127833255,0.000419553491570846,37.9580543050515
"15","task01","Inferior Trapezius, Scapula",4.02897448770535,3.91074847942728,0.00993205192622175,32.5531149189174
"16","task01","Levator Scapula",1.64315488085958,1.80816283900483,0.000361370383121197,14.4500510546525
"17","task01","Middle Deltoid",3.31541904579815,2.74580902266713,5.89483048010209e-05,16.9855911922061
"18","task01","Middle Latissimus Dorsi",2.22915809707782,2.52038904375749,0.000258767919785727,18.1329121709431
"19","task01","Middle Pectoralis Major",1.44516937033596,1.50714239282551,0.00143939710510866,12.0254864836327
"20","task01","Middle Serratus Anterior",3.17819401135472,3.31407469298805,0.00111297871385997,24.3030393636665
"21","task01","Middle Subscapularis",3.36425535520144,4.28197701675364,0.000297090455700033,38.3221560375711
