"","Task","DOF","Muscle","M","SD","Median","Min","Max"
"102","task01","5dof","Middle Latissimus Dorsi",47.6680037756362,28.5471769322499,46.5277728698892,0.000223210227334736,99.9749073947375
"103","task01","5dof","Middle Pectoralis Major",26.0466387459346,21.6242480717921,20.4253752621363,0.0196722865274168,99.9385454719177
"104","task01","5dof","Middle Serratus Anterior",50.3091049941587,28.8531501522213,50.65389860657,0.0445224734688221,99.9988881857913
"105","task01","5dof","Middle Subscapularis",42.7773725564837,27.4403539883561,39.8956707466593,0.0208011634916461,99.9922483717128
"106","task01","5dof","Middle Trapezius, Scapula",49.9631263588232,28.9750635603824,49.6913696392715,0.00359166795566024,99.9966415304816
"107","task01","5dof","Pectoralis Minor",49.9614200874215,28.9499563222409,49.9022867488743,0.00272258873723619,99.9622336798455
"108","task01","5dof","Posterior Deltoid",73.5624763630826,21.2220046993159,79.0136009058469,0.00292585367718257,99.9950520323446
"109","task01","5dof","Posterior Supraspinatus",53.8473823184397,28.7590036568448,55.9436276696096,0.0082012555601696,99.9912389208153
"110","task01","5dof","Pronator Quadratus",51.253404317189,28.3304155846084,51.6497590400271,0.00849892249993323,99.9977696196859
"111","task01","5dof","Pronator Teres, Humeral",53.4844909439204,28.3800128938528,54.9428921439586,0.014390910120321,99.9830912972756
"112","task01","5dof","Pronator Teres, Ulnar",50.3798524398256,28.8535937737286,50.3187163113484,0.00867021224707498,99.9906821848178
"113","task01","5dof","Superior Infraspinatus",57.9373031994123,27.416319567267,61.3713893993236,0.000902840524008575,99.9936232539064
"114","task01","5dof","Superior Latissimus Dorsi",48.1314195299894,29.0585622808638,46.9397304791584,0.00030222320305251,99.9993496368253
"115","task01","5dof","Superior Pectoralis Major",30.8072416059971,24.3736400093472,24.6707701577857,0.00479716129606067,99.9454008086408
"116","task01","5dof","Superior Rhombiod",49.9551930485103,29.1937974697082,50.1761979806585,0.0367224008033962,99.9876237289304
"117","task01","5dof","Superior Serratus Anterior",50.0006129452659,28.9047337413638,50.089823093057,0.00933140759508122,99.9836201122967
"118","task01","5dof","Superior Subscapularis",42.640325045058,28.0150610641909,39.4087860870409,0.0157130148028595,99.9366946434339
"119","task01","5dof","Superior Trapezius, Scapula",50.0565244012576,28.668727480467,50.0071563834544,0.0194271455932371,99.9954588710246
"120","task01","5dof","Supinator",44.4687934202112,21.7924645263656,44.162483484502,0.101202751926349,99.5925384074799
"121","task01","5dof","Teres Major",59.8374915746166,24.3422552408489,62.1560017925711,0.132187754202329,99.974839468755
"122","task01","5dof","Teres Minor",55.990838419439,27.2625151653165,58.3124986829465,0.00855516438584836,99.9997048969637
"123","task01","5dof","Trapezius, Clavicle",49.8609263249625,28.8201514455864,49.7575764592209,0.0129976288629097,99.9858289544798
"124","task01","5dof","Triceps Lateral Head",36.9555179125496,25.8198291476265,32.6322633388498,0.0152703619682115,99.8714527106116
"125","task01","5dof","Triceps Long Head",25.3648831998784,17.7667998707313,22.2991613884229,0.00732432505010649,99.3045367112473
"126","task01","5dof","Triceps Medial Head",33.1175855534768,23.6362743119924,29.0756234276615,0.0027821494823943,99.6883261266579
"127","task01","8dof","Anconeus",49.2782295157821,28.8189560786499,48.7019655368275,0.0271833968530977,99.9980024964905
"128","task01","8dof","Anterior Deltoid",6.93125165172858,5.92684523712823,5.35760418796295,0.00112531777218539,40.6294004976777
"129","task01","8dof","Anterior Supraspinatus",51.0441366782724,28.8139712977534,51.5708224652775,0.0115910236936689,99.9889221359752
"130","task01","8dof","Biceps Long Head",53.7983443562195,28.219809186901,55.1818649769588,0.00826236481753506,99.9978888481428
"131","task01","8dof","Biceps Short Head",51.0698842901328,26.429418187581,51.570557912432,0.0102983773000553,99.9963984085727
"132","task01","8dof","Brachialis",56.3703716782306,28.0542378125685,59.046530213146,0.0366091258076184,99.9778521490849
"133","task01","8dof","Brachioradialis",52.3055832194939,28.6358021898866,53.3353485916404,0.00984423342481611,99.9834266391862
"134","task01","8dof","Coracobrachialis",43.5944352222255,27.0400194570382,41.3114663244817,0.0080274060571095,99.9583731163359
"135","task01","8dof","Inferior Infraspinatus",44.8540022412047,26.8014611787333,43.3416775920319,0.03807723542818,99.9330766466263
"136","task01","8dof","Inferior Latissimus Dorsi",15.0961204065758,14.1093343004686,11.0700716318314,0.00486855825982124,95.2737962043012
"137","task01","8dof","Inferior Pectoralis Major",2.16775204750148,1.92677075740337,1.6381446820819,7.99629153690196e-05,13.784932498528
"138","task01","8dof","Inferior Rhombiod",4.01588880856965,3.7850231434346,2.89089101978457,0.000615156932450706,33.9976887320053
"139","task01","8dof","Inferior Serratus Anterior",12.0762309699923,6.20234692730836,11.9000852293285,0.00205656727365056,36.3456910025438
"140","task01","8dof","Inferior Subscapularis",55.3248449261498,27.2967094767478,57.1785124457604,0.00756338186893579,99.9829181581264
"141","task01","8dof","Inferior Trapezius, Scapula",19.7028845717578,16.1844599463129,15.6634803468031,0.0042364722858873,98.9884059015412
